County,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/13/2021,01/14/2021,01/15/2021,01/16/2021,01/17/2021,01/18/2021,01/19/2021,01/20/2021,01/21/2021,01/22/2021,01/23/2021,01/24/2021,01/25/2021,01/26/2021,01/27/2021,01/28/2021,01/29/2021,01/30/2021,01/31/2021,02/01/2021,02/02/2021,02/03/2021,02/04/2021,02/05/2021,02/06/2021,02/07/2021,02/08/2021,02/09/2021,02/10/2021,02/11/2021,02/12/2021,02/13/2021,02/14/2021,02/15/2021,02/16/2021,02/17/2021,02/18/2021,02/19/2021,02/20/2021,02/21/2021,02/22/2021,02/23/2021,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021,03/03/2021,03/04/2021,03/05/2021,03/06/2021,03/07/2021,03/08/2021,03/09/2021,03/10/2021,03/11/2021,03/12/2021,03/13/2021,03/14/2021,03/15/2021,03/16/2021,03/17/2021,03/18/2021,03/19/2021,03/20/2021,03/21/2021,03/22/2021,03/23/2021,03/24/2021,03/25/2021,03/26/2021,03/27/2021,03/28/2021,03/29/2021,03/30/2021,03/31/2021,04/01/2021,04/02/2021,04/03/2021,04/04/2021,04/05/2021,04/06/2021,04/07/2021,04/08/2021,04/09/2021,04/10/2021,04/11/2021,04/12/2021,04/13/2021,04/14/2021,04/15/2021,04/16/2021,04/17/2021,04/18/2021,04/19/2021,04/20/2021,04/21/2021,04/22/2021,04/23/2021,04/24/2021,04/25/2021,04/26/2021,04/27/2021,04/28/2021,04/29/2021,04/30/2021,05/01/2021,05/02/2021,05/03/2021,05/04/2021,05/05/2021,05/06/2021,05/07/2021,05/08/2021,05/09/2021,05/10/2021,05/11/2021,05/12/2021,05/13/2021,05/14/2021,05/15/2021,05/16/2021,05/17/2021,05/18/2021,05/19/2021,05/20/2021,05/21/2021,05/22/2021,05/23/2021,05/24/2021,05/25/2021,05/26/2021,05/27/2021,05/28/2021,05/29/2021,05/30/2021,05/31/2021,06/01/2021,06/02/2021,06/03/2021,06/04/2021,06/05/2021,06/06/2021,06/07/2021,06/08/2021,06/09/2021,06/10/2021,06/11/2021,06/12/2021,06/13/2021,06/14/2021,06/15/2021,06/16/2021,06/17/2021,06/18/2021,06/19/2021,06/20/2021,06/21/2021,06/22/2021,06/23/2021,06/24/2021,06/25/2021,06/26/2021,06/27/2021,06/28/2021,06/29/2021,06/30/2021,07/01/2021,07/02/2021,07/03/2021,07/04/2021,07/05/2021,07/06/2021,07/07/2021,07/08/2021,07/09/2021,07/10/2021,07/11/2021,07/12/2021,07/13/2021,07/14/2021,07/15/2021,07/16/2021,07/17/2021,07/18/2021,07/19/2021,07/20/2021,07/21/2021,07/22/2021,07/23/2021,07/24/2021,07/25/2021,07/26/2021,07/27/2021,07/28/2021,07/29/2021,07/30/2021,07/31/2021,08/01/2021,08/02/2021,08/03/2021,08/04/2021,08/05/2021,08/06/2021,08/07/2021,08/08/2021,08/09/2021,08/10/2021,08/11/2021,08/12/2021,08/13/2021,08/14/2021,08/15/2021,08/16/2021,08/17/2021,08/18/2021,08/19/2021,08/20/2021,08/21/2021,08/22/2021,08/23/2021,08/24/2021,08/25/2021,08/26/2021,08/27/2021,08/28/2021,08/29/2021,08/30/2021,08/31/2021,09/01/2021,09/02/2021,09/03/2021,09/04/2021,09/05/2021,09/06/2021,09/07/2021,09/08/2021,09/09/2021,09/10/2021,09/11/2021,09/12/2021,09/13/2021,09/14/2021,09/15/2021,09/16/2021,09/17/2021,09/18/2021,09/19/2021,09/20/2021,09/21/2021,09/22/2021,09/23/2021,09/24/2021,09/25/2021,09/26/2021,09/27/2021,09/28/2021,09/29/2021,09/30/2021,10/01/2021,10/02/2021,10/03/2021,10/04/2021,10/05/2021,10/06/2021,10/07/2021,10/08/2021,10/09/2021,10/10/2021,10/11/2021,10/12/2021,10/13/2021,10/14/2021,10/15/2021,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/2021,10/23/2021,10/24/2021,10/25/2021,10/26/2021,10/27/2021,10/28/2021,10/29/2021,10/30/2021,10/31/2021,11/01/2021,11/02/2021,11/03/2021,11/04/2021,11/05/2021,11/06/2021,11/07/2021,11/08/2021,11/09/2021,11/10/2021,11/11/2021,11/12/2021,11/13/2021,11/14/2021,11/15/2021,11/16/2021,11/17/2021,11/18/2021,11/19/2021,11/20/2021,11/21/2021,11/22/2021,11/23/2021,11/24/2021,11/25/2021,11/26/2021,11/27/2021,11/28/2021,11/29/2021,11/30/2021,12/01/2021,12/02/2021,12/03/2021,12/04/2021,12/05/2021,12/06/2021,12/07/2021,12/08/2021,12/09/2021,12/10/2021,12/11/2021,12/12/2021,12/13/2021,12/14/2021,12/15/2021,12/16/2021,12/17/2021,12/18/2021,12/19/2021,12/20/2021,12/21/2021,12/22/2021,12/23/2021,12/24/2021,12/25/2021,12/26/2021,12/27/2021,12/28/2021,12/29/2021,12/30/2021,12/31/2021
Johnson,23,0,0,0,517,377,137,151,316,0,0,436,307,309,110,110,0,0,0,567,43,121,107,0,0,252,50,165,46,72,0,0,246,58,101,80,61,0,0,100,60,60,52,37,0,0,0,150,-8,0,67,0,0,39,11,30,26,5,0,0,42,7,27,9,13,0,0,23,11,14,26,3,0,0,30,10,8,11,20,0,0,21,14,15,10,9,0,0,29,4,10,5,5,0,0,10,11,9,8,2,0,0,22,-3,4,-1,5,0,0,25,2,10,2,1,0,0,15,3,8,10,2,0,0,18,1,11,0,4,0,0,14,3,2,11,4,0,0,5,5,5,2,0,0,0,7,1,2,7,4,0,0,0,17,3,2,5,-1,0,10,2,8,2,1,-1,0,4,-3,10,0,3,0,0,10,-3,12,-3,3,0,0,17,10,1,13,14,0,0,5,2,3,13,-10,0,0,31,-1,27,7,16,0,0,-2,8,36,15,25,-1,0,63,10,65,30,44,0,0,148,21,113,47,37,0,0,136,66,75,45,65,0,0,168,37,99,17,67,0,0,84,57,63,92,0,0,0,214,58,101,138,66,0,0,0,331,0,168,75,0,0,185,53,128,78,77,0,0,134,17,103,0,118,0,0,133,29,51,35,56,0,0,125,34,44,32,33,0,0,115,19,40,26,6,0,0,63,6,65,12,18,0,0,48,9,32,13,17,0,0,61,11,9,6,10,0,0,39,11,19,0,38,0,0,19,10,2,10,5,0,0,22,24,0,0,0,0,9,32,19,25,22,36,14,12,36,23,22,22,16,5,18,38,15,25,29,20,6,23,41,19,25,50,33,22,36,57,42,32,68
Jones,-10,0,0,0,16,-6,-6,29,11,0,0,14,2,-7,-1,27,0,0,61,18,-4,4,7,0,0,-2,4,-3,2,4,0,0,-4,-16,4,-8,6,0,0,-2,-4,21,1,10,0,0,0,3,0,0,3,0,0,-2,-2,3,-1,18,0,0,-16,-17,-6,-2,23,0,0,15,-5,-17,-9,7,0,0,-1,-13,11,-28,7,0,0,-3,-19,-1,7,9,0,0,-1,-3,-22,-1,1,0,0,-6,-16,5,-4,-5,0,0,-1,-16,-1,3,12,0,0,-29,-4,6,-12,12,0,0,-12,-15,-6,7,1,0,0,-13,-10,4,-8,-2,0,0,1,0,-23,3,5,0,0,-2,-1,6,3,-5,0,0,-17,22,-7,-5,4,0,0,0,-10,16,-7,0,3,0,-5,-3,2,-8,11,0,0,-8,-1,-5,12,-13,0,0,-1,4,-1,-8,7,0,0,-7,1,15,0,1,0,0,26,-26,1,0,4,0,0,-7,1,-2,-4,6,0,0,-1,2,0,-15,4,-3,0,5,-9,0,3,10,0,0,-1,3,14,1,4,0,0,-4,21,1,-2,6,0,0,82,5,6,7,10,0,0,-7,-2,2,2,3,0,0,12,-9,4,1,0,0,0,0,5,0,24,0,0,0,-1,7,13,-9,0,0,0,4,8,-10,0,29,0,0,3,-4,-1,35,58,0,0,0,-2,-5,-1,7,0,0,-3,-7,-2,-16,11,0,0,2,17,50,-13,0,0,0,1,10,0,0,-3,0,0,3,-6,-10,-4,3,0,0,5,-7,0,0,1,0,0,-16,-13,0,0,1,0,0,-9,-11,0,0,0,0,1,1,0,3,0,1,1,0,0,0,4,3,0,1,2,1,6,5,0,1,0,0,2,0,1,2,0,1,1,0,1,0,1
Karnes,1,0,0,0,30,1,8,7,18,0,0,0,19,2,2,-1,0,0,0,9,25,21,4,0,24,4,7,18,4,16,0,0,4,20,6,11,-1,0,0,4,9,2,7,11,0,0,0,0,0,3,0,0,0,16,-1,0,6,0,7,0,4,9,5,-1,6,0,0,-4,2,0,2,-4,0,0,0,1,1,-3,-2,0,0,2,8,0,1,11,0,0,-1,30,21,2,-1,0,0,-1,3,0,1,2,0,0,-1,8,49,-1,1,0,0,3,1,1,17,-23,0,0,3,-2,0,0,14,0,19,0,0,2,17,-2,0,0,13,1,42,3,1,0,-3,11,18,6,1,0,0,0,26,7,3,9,12,0,0,0,19,9,2,0,0,0,12,19,28,0,7,0,0,4,-39,-42,0,-1,0,0,0,1,13,24,11,0,0,3,0,-4,52,0,0,1,1,-1,-1,24,45,0,1,9,1,-2,4,90,0,0,5,9,7,21,64,0,0,13,5,20,10,3,0,0,9,45,21,9,11,0,0,48,3,0,28,14,0,85,29,24,3,17,11,0,0,8,19,19,1,4,0,0,15,27,19,7,13,0,0,0,20,70,8,0,0,10,11,0,45,-1,0,0,17,18,48,8,-2,0,0,48,2,7,19,2,0,0,0,0,89,-8,6,0,0,-1,19,3,2,9,0,0,5,3,26,2,0,0,0,0,1,-1,-4,14,0,0,-1,-1,2,0,-1,0,0,1,4,0,0,19,0,0,-1,20,18,0,20,0,0,19,0,1,0,0,0,0,0,42,9,5,9,18,0,0,21,2,3,17,1,1,0,2,1,1,5,1,0,0,0,1,4,1,0,0,1,0,2,0,0
Kaufman,20,0,0,0,577,154,143,63,90,0,0,397,80,175,86,34,0,0,0,457,43,88,105,0,0,269,38,114,43,57,0,0,260,67,74,59,84,0,0,116,81,52,49,40,0,0,0,164,0,0,67,0,0,48,10,37,22,29,0,0,77,3,21,21,19,0,0,19,11,17,14,14,0,0,36,15,5,8,15,0,0,15,5,7,18,2,0,0,13,6,11,0,6,0,0,21,2,5,6,3,0,0,29,7,9,6,2,0,0,25,15,9,3,2,0,0,21,5,16,9,16,0,0,43,0,18,7,4,0,0,26,3,4,11,1,0,0,22,5,3,2,3,0,0,15,2,0,6,2,0,0,0,24,5,4,6,0,0,7,2,7,0,8,0,0,11,0,24,3,9,0,0,5,-1,4,-2,-6,0,0,15,6,3,2,7,0,0,14,3,2,5,3,0,0,17,4,20,13,25,0,0,7,9,34,26,22,0,0,71,14,52,37,49,0,0,138,17,83,51,55,0,0,134,71,88,35,65,0,0,231,92,89,41,47,0,0,122,85,99,80,0,0,0,229,96,148,115,44,0,0,0,405,101,112,49,0,0,223,65,100,65,70,0,0,158,16,75,0,81,0,0,135,44,57,31,54,0,0,106,32,34,36,36,0,0,95,25,23,27,15,0,0,59,9,23,16,17,0,0,44,6,20,7,11,0,0,29,9,9,9,7,0,0,27,11,7,0,16,0,0,10,3,1,3,9,0,0,12,9,0,0,0,0,7,22,15,9,14,15,13,19,20,16,19,23,10,11,13,19,10,14,14,15,12,30,35,13,24,28,55,41,37,60,22,46,25
Kendall,2,0,0,0,59,3,61,24,12,0,0,1,90,0,13,13,0,0,0,25,41,0,19,0,0,1,2,52,0,46,0,0,3,42,13,4,5,0,0,12,22,-3,13,7,0,0,0,0,0,7,0,0,0,17,0,10,5,0,6,0,3,4,4,0,8,0,0,2,0,0,7,-3,0,0,1,5,5,2,-2,0,0,0,7,0,1,3,0,0,0,4,1,1,0,0,0,0,2,2,0,0,0,0,0,2,3,0,0,0,0,1,11,1,-2,1,0,0,7,0,1,4,0,0,7,0,0,0,3,1,0,0,7,0,1,5,1,0,0,1,1,0,0,3,0,0,5,0,2,1,-1,0,0,0,3,0,0,0,0,0,2,2,3,0,-3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,5,4,0,0,0,0,1,7,2,1,1,0,0,0,13,2,2,3,2,0,0,4,3,4,3,2,0,0,18,4,13,6,15,0,0,31,6,18,29,7,0,0,36,7,0,17,3,0,0,28,18,21,2,16,0,0,27,24,8,3,0,0,0,53,6,35,13,9,0,0,0,55,9,11,0,0,10,26,2,12,0,0,0,24,1,24,13,0,0,0,19,10,36,1,0,0,0,0,0,57,14,6,0,0,0,9,15,8,6,0,0,5,1,11,3,2,0,0,4,3,0,6,0,0,0,0,0,0,0,13,0,0,6,5,0,0,14,0,0,0,13,15,0,17,0,0,-3,0,0,0,0,0,0,0,-2,1,1,1,3,0,6,2,0,1,3,1,2,3,1,3,3,2,3,3,3,4,2,4,5,8,6,14,5,7,8,5
Kenedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kerr,2,0,0,0,44,3,37,17,15,0,0,6,60,1,13,10,0,0,0,18,71,1,23,0,0,0,1,24,3,19,0,0,3,19,12,3,14,0,0,13,55,0,2,15,0,0,0,0,0,3,0,0,0,14,1,4,2,0,2,0,3,3,0,1,1,0,0,2,2,1,3,3,0,0,0,3,2,0,1,0,0,0,2,2,3,1,0,0,0,5,-1,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,5,1,-1,0,0,0,4,0,2,9,3,0,15,0,0,2,1,0,0,0,19,0,3,2,11,0,0,7,1,0,2,2,0,0,5,2,3,1,0,0,0,0,6,2,2,1,0,0,2,2,2,1,5,0,0,7,4,2,5,4,0,0,0,0,2,0,0,0,0,2,12,0,2,0,0,1,3,2,4,2,8,0,0,8,5,6,8,1,0,0,4,7,10,1,7,0,0,8,8,22,12,6,0,0,15,15,10,19,2,0,0,30,7,0,27,14,0,0,29,24,9,0,8,0,0,17,17,5,2,0,0,0,34,1,13,12,14,0,0,0,39,16,9,0,0,7,21,0,6,0,0,0,91,16,25,29,-1,0,0,14,9,20,3,0,0,0,0,0,51,14,5,0,0,18,15,17,3,5,0,0,1,2,1,8,32,0,0,2,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,9,0,8,0,0,9,0,0,0,0,0,0,0,9,3,1,0,0,0,2,0,5,3,1,0,1,0,1,1,0,0,1,0,1,1,1,0,4,0,0,2,4,5,2,2
Kimble,0,0,0,1,2,1,0,0,0,1,1,2,1,-3,0,2,3,0,5,0,2,1,0,0,1,0,-11,-2,0,0,0,2,1,3,-1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,8,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,2,2,0,2,5,1,0,1,0,0,3,0,2,0,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,3,2,7,1,0,2,1,0,0,-1,-1,1,0,0,1,1,0,0,-2,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,1,0,-3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
King,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kinney,0,0,0,0,19,2,40,3,6,0,0,0,24,1,1,10,0,0,0,7,21,0,6,0,0,0,4,13,0,5,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,-1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,2,2,0,0,0,0,2,1,1,2,0,0,0,3,1,3,4,2,0,0,0,13,4,4,0,0,1,9,0,0,0,0,0,10,1,3,0,-1,0,0,4,1,5,1,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Kleberg,4,0,6,0,28,4,1,4,14,6,0,18,10,8,9,5,13,0,4,13,5,16,16,16,0,15,3,16,4,19,8,0,18,3,12,3,16,3,0,5,8,2,7,5,3,0,7,3,0,4,0,1,0,3,0,3,1,3,5,0,3,3,0,1,6,2,0,3,3,4,1,6,1,0,4,1,4,1,3,10,0,4,0,2,1,5,1,0,2,2,7,4,1,1,0,0,2,5,0,1,2,0,1,0,2,0,1,0,0,1,12,2,3,0,1,0,2,3,2,0,2,7,0,0,1,1,2,1,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,2,1,3,0,2,1,1,3,5,3,0,0,0,3,9,4,13,0,4,12,15,13,28,16,0,2,20,29,14,30,14,0,15,19,13,4,22,25,0,37,15,15,43,21,8,0,18,14,19,6,22,0,0,19,18,31,20,18,6,0,0,41,9,12,13,3,0,15,12,8,4,4,5,0,8,9,10,9,5,3,0,8,4,2,2,7,3,0,3,4,4,2,1,2,0,6,5,5,0,2,3,0,1,2,4,0,3,3,0,1,1,0,0,1,5,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,3,8,0,-8,3,0,0,1,0,0,0,0,0,4,3,0,2,12,1,0,1,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,2,3,2,2,0,4,7,3,1,3
Knox,0,0,0,0,2,0,0,0,2,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,14,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0
La Salle,46,0,0,0,-50,-2,-2,-1,2,0,0,2,-5,1,-2,41,0,0,0,0,-1,-1,0,0,-1,-3,-1,-1,1,-3,3,-3,-1,1,-1,4,0,0,0,-1,0,0,0,0,0,0,0,0,-2,0,0,0,0,248,2,0,6,0,2,0,-34,9,8,-2,3,0,0,0,1,3,-1,0,0,0,-1,0,-1,1,1,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,-2,4,-1,0,-1,0,0,0,0,0,-2,1,0,0,-1,0,0,-3,0,0,0,2,1,-1,-1,-1,0,0,-1,0,1,1,0,0,0,-1,0,0,-1,0,0,2,1,1,0,2,-1,0,0,1,0,-1,2,-4,0,0,0,0,0,-1,0,0,0,-1,0,-2,-1,-51,0,0,0,2,1,1,1,0,0,0,1,-1,0,-1,0,0,1,1,-2,1,0,0,1,1,0,1,1,-3,0,0,5,1,1,9,-2,0,0,2,-1,0,0,-1,0,0,3,-1,1,0,4,0,0,2,0,-1,1,0,0,0,1,1,0,2,-2,0,0,3,-1,4,2,-1,0,0,4,4,0,0,1,0,0,15,2,6,5,2,0,0,0,23,7,-1,0,0,1,2,0,6,0,0,0,0,1,7,1,0,0,0,-1,1,2,1,-1,0,0,-1,0,2,0,-2,0,0,1,2,4,-1,-1,0,0,2,2,6,-1,0,0,0,1,2,0,-2,4,0,0,1,-5,2,0,-2,0,0,0,0,0,0,6,0,0,2,17,16,-1,17,0,0,13,0,0,0,0,0,0,0,3,0,6,0,5,5,0,1,1,3,2,8,1,1,7,2,1,0,0,0,0,0,2,1,1,0,1,1,0,0,0,5
Lamar,0,119,0,0,0,0,0,0,0,173,0,5,0,100,10,0,0,0,5,10,29,11,0,2,0,23,0,24,0,8,0,0,0,29,20,0,3,0,0,0,28,15,5,14,0,0,0,12,0,6,0,0,0,0,9,6,10,0,0,0,8,0,11,0,3,0,0,3,3,2,9,0,0,0,0,14,1,0,0,0,0,0,5,5,2,0,0,0,0,3,0,2,0,0,0,6,2,0,1,0,0,0,4,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,0,0,0,1,0,2,0,0,0,0,2,0,2,1,0,0,0,0,6,0,4,2,0,0,0,0,9,4,0,0,0,0,5,1,7,0,0,0,3,0,4,3,0,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,13,0,2,0,5,0,0,0,6,2,3,0,0,0,17,20,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,18,16,3,12,0,0,0,31,23,22,9,0,0,0,0,0,69,4,0,0,0,13,42,0,19,0,0,0,14,0,19,0,0,0,9,52,27,13,10,0,0,0,11,9,4,10,0,0,0,39,3,2,7,0,0,0,24,0,5,0,3,0,0,9,5,2,0,0,0,0,12,1,2,0,0,0,1,6,3,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,12,2,3,3,0,0,0,3,3,3,0,1,1,2,0,0,6,1,0,1,3,2,2,5,6,2,2,3,7,7,1,5
